Date,Open,High,Low,Close,Adj Close,Volume
1/2/19,41.740002,42.244999,41.482498,41.630001,40.601936,130672400
4/2/19,41.852501,42.915001,41.82,42.8125,41.755226,125982000
5/2/19,43.215,43.77,43.087502,43.544998,42.469643,144406400
6/2/19,43.662498,43.892502,43.212502,43.560001,42.484268,112958400
7/2/19,43.099998,43.485001,42.584999,42.735001,41.679646,126966800
8/2/19,42.247501,42.665001,42.105,42.602501,41.728615,95280000
11/2/19,42.762501,42.802502,42.3125,42.357498,41.48864,83973600
12/2/19,42.525002,42.75,42.424999,42.7225,41.846161,89134000
13/2/19,42.8475,43.119999,42.48,42.544998,41.672295,89960800
14/2/19,42.427502,42.814999,42.345001,42.700001,41.82412,87342800
15/2/19,42.8125,42.924999,42.4375,42.605,41.73106,98507200
19/2/19,42.427502,42.860001,42.372501,42.732498,41.855953,75891200
20/2/19,42.797501,43.330002,42.747501,43.0075,42.125313,104457600
21/2/19,42.950001,43.092499,42.575001,42.764999,41.887783,68998800
22/2/19,42.895,43.25,42.845001,43.2425,42.355495,75652800
25/2/19,43.540001,43.967499,43.487499,43.557499,42.664028,87493600
26/2/19,43.427502,43.825001,43.2925,43.5825,42.688511,68280800
27/2/19,43.302502,43.75,43.182499,43.717499,42.820747,111341600
28/2/19,43.580002,43.727501,43.23,43.287498,42.39957,112861600
1/3/19,43.57,43.787498,43.2225,43.7425,42.845234,103544800
4/3/19,43.922501,44.4375,43.4925,43.962502,43.060719,109744800
5/3/19,43.985001,44,43.634998,43.8825,42.982357,78949600
6/3/19,43.6675,43.872501,43.485001,43.630001,42.735043,83241600
7/3/19,43.467499,43.610001,43.005001,43.125,42.240398,99185600
8/3/19,42.580002,43.267502,42.375,43.227501,42.340797,95997600
11/3/19,43.872501,44.779999,43.837502,44.724998,43.807579,128044000
12/3/19,45,45.6675,44.842499,45.227501,44.299774,129870400
13/3/19,45.5625,45.825001,45.23,45.427502,44.495667,124130000
14/3/19,45.974998,46.025002,45.639999,45.932499,44.990303,94318000
15/3/19,46.212502,46.8325,45.935001,46.529999,45.57555,156171600
18/3/19,46.450001,47.0975,46.447498,47.005001,46.040817,104879200
19/3/19,47.087502,47.247501,46.48,46.6325,45.675953,126585600
20/3/19,46.557499,47.372501,46.182499,47.040001,46.075096,124140800
21/3/19,47.505001,49.0825,47.452499,48.772499,47.772057,204136800
22/3/19,48.834999,49.422501,47.695,47.762501,46.782772,169630800
25/3/19,47.877499,47.994999,46.650002,47.185001,46.217113,175381200
26/3/19,47.915001,48.220001,46.145,46.697498,45.73962,199202000
